cand_office_state,Winner
AZ,Rep
CA,Dem
CT,Dem
DE,Dem
FL,Dem
HI,Dem
IN,Dem
MA,Dem
MD,Dem
ME,Ind
MI,Dem
MN,Dem
MO,Dem
MS,Rep
MT,Dem
ND,Dem
NE,Dem
NJ,Dem
NM,Dem
NV,Rep
NY,Dem
OH,Dem
PA,Dem
RI,Dem
TN,Rep
TX,Rep
UT,Rep
VA,Dem
VT,Ind
WA,Dem
WI,Dem
WV,Dem
WY,Rep
